epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,428.097,2.02814,3.84351,1.81083,0.28377,0.26374,0.19584,0.08395,2.09739,2.83328,1.83543,0.00999329,0.0033311,0.00999329,0.0033311,0.00999329,0.0033311,0.00999329,0.0033311
2,790.057,2.0108,2.94644,1.78034,0.23556,0.18675,0.10598,0.04181,2.31479,4.02909,2.14467,0.0195974,0.00653247,0.0195974,0.00653247,0.0195974,0.00653247,0.0195974,0.00653247
3,1177.65,2.09468,2.78374,1.8624,0.25953,0.24782,0.15694,0.06232,2.21121,3.04742,2.02123,0.0288056,0.00960185,0.0288056,0.00960185,0.0288056,0.00960185,0.0288056,0.00960185
4,1539.67,2.07914,2.71553,1.8876,0.29628,0.26653,0.21325,0.09024,2.10465,2.70055,1.94741,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1904.85,1.99629,2.55617,1.81986,0.33814,0.32827,0.26613,0.11571,2.02714,2.50102,1.85985,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2267.42,1.93743,2.45798,1.78263,0.37989,0.36292,0.31497,0.14452,1.9573,2.40225,1.79661,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2632.47,1.90691,2.38333,1.74855,0.40651,0.3827,0.33874,0.15383,1.93896,2.32464,1.7936,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,3000.17,1.87557,2.32389,1.72593,0.41484,0.39205,0.35162,0.16434,1.91728,2.30873,1.76935,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,3367.56,1.85628,2.26725,1.7027,0.43482,0.42944,0.38816,0.17775,1.90545,2.18258,1.75346,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,3752.3,1.83988,2.23022,1.68734,0.48392,0.41194,0.40552,0.19583,1.86191,2.15874,1.70522,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,4168.87,1.81587,2.19248,1.6726,0.45885,0.44629,0.41226,0.19755,1.84915,2.13451,1.6884,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,4586.6,1.80572,2.16346,1.66293,0.50292,0.44889,0.43905,0.21257,1.83286,2.11544,1.69125,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
